NOMBRE,TIPO ELECCIÓN,ENTIDAD,CIRCUNSCRIPCIÓN,E-MAIL,PARTIDO,ESCOLARIDAD,ADHERENTE,APROBADAS,DE GRUPO,APROBADAS,I. INICIANTE,A. INICIANTE,DG,A.DG,TOTAL APROBADAS,TOTAL INICIATIVAS
Dip. Jesús Sergio Alcántara Núñez,Representación proporcional,México ,5 ,jesus.alcantara@diputados.gob.mx ,vrd,Doctorado,14 ,1,29 ,2,1 ,0,27 ,4,7,71
Dip. Luis Javier Alegre Salazar,Representación proporcional,Quintana Roo ,3 ,luis.alegre@diputados.gob.mx ,Morena,Licenciatura,2 ,0,15 ,10,3 ,0,0,0,10,20
Dip. Maximino Alejandro Candelaria,Representación proporcional,Ciudad de México ,4 ,maximino.alejandro@diputados.gob.mx ,Morena,Secundaria,10 ,1,15 ,10,7 ,1,0,0,12,32
Dip. Nohemí Alemán Hernández,Representación proporcional,Tamaulipas ,2 ,nohemi.aleman@diputados.gob.mx ,pan,Maestría,112 ,7,27 ,2,6 ,0,2 ,0,9,147
Dip. María Alemán Muñoz Castillo,Representación proporcional,Querétaro ,2 ,aleman.munoz@diputados.gob.mx ,Pri,Maestría,43 ,2,1 ,0,11 ,3,0,0,5,55
Dip. María Isabel Alfaro Morales,Mayoría Relativa,Hidalgo ,4 ,maria.alfaro@diputados.gob.mx ,Morena,Seminario,10 ,0,15 ,10,0,0,1 ,0,10,26
Dip. Ma. Guadalupe Almaguer Pardo,Mayoría Relativa,San Luis Potosí ,6 ,guadalupe.almaguer@diputados.gob.mx ,d01,,11 ,0,41 ,1,10 ,0,6 ,0,1,68
Dip. Karla Yuritzi Almazán Burgos,Mayoría Relativa,México ,38 ,karla.almazan@diputados.gob.mx ,Morena,Licenciatura,10 ,1,15 ,10,2 ,0,0,0,11,27
Dip. Mónica Almeida López,Mayoría Relativa,Jalisco ,18 ,monica.almeida@diputados.gob.mx ,d01,Doctorado,7 ,0,41 ,1,4 ,0,1 ,0,1,53
Dip. María Ester Alonzo Morales,Mayoría Relativa,Yucatán ,2 ,maria.alonzo@diputados.gob.mx ,Pri,Diplomado,48 ,4,1 ,0,6 ,0,6 ,0,4,61
Dip. María Guillermina Alvarado Moreno,Mayoría Relativa,Nuevo León ,2 ,maria.alvarado@diputados.gob.mx ,Morena,Maestría,22 ,1,15 ,10,1 ,0,1 ,0,11,39
Dip. Ivonne Liliana Álvarez García,Representación proporcional,Nuevo León ,2 ,ivonne.alvarez@diputados.gob.mx ,Pri,Licenciatura,21 ,2,1 ,0,7 ,1,1 ,0,3,30
Dip. José Guadalupe Ambrocio Gachuz,Mayoría Relativa,Morelos ,5 ,jose.ambrocio@diputados.gob.mx ,Morena,Licenciatura,4 ,0,15 ,10,7 ,0,0,0,10,26
Dip. Socorro Irma Andazola Gómez,Mayoría Relativa,Baja California ,4 ,socorro.andazola@diputados.gob.mx ,Morena,Licenciatura,4 ,0,15 ,10,5 ,0,4 ,0,10,28
Dip. Marco Antonio Andrade Zavala,Representación proporcional,Chiapas ,3 ,antonio.andrade@diputados.gob.mx ,Morena,Maestría,2 ,0,15 ,10,1 ,1,0,0,11,18
Dip. Julio César Angeles Mendoza,Mayoría Relativa,Hidalgo ,5 ,julio.angeles@diputados.gob.mx ,Morena,,8 ,3,15 ,10,3 ,0,0,0,13,26
Dip. Pablo Guillermo Angulo Briceño,Representación proporcional,Campeche ,3 ,pablo.angulo@diputados.gob.mx ,Pri,Maestría,24 ,1,1 ,0,4 ,0,0,0,1,29
Dip. Carol Antonio Altamirano,Mayoría Relativa,Oaxaca ,5 ,carol.antonio@diputados.gob.mx ,Morena,Licenciatura,1 ,0,15 ,10,6 ,1,0,0,11,22
Dip. Edgar Eduardo Arenas Madrigal,Mayoría Relativa,México ,37 ,edgar.arenas@diputados.gob.mx ,Morena,Ninguna,0,0,4 ,1,0,0,0,0,1,4
Dip. Jorge Arturo Argüelles Victorero,Mayoría Relativa,Morelos ,4 ,jorge.arguelles@diputados.gob.mx ,Encuentro,Licenciatura,10 ,2,6 ,1,2 ,0,2 ,2,5,20
Dip. Justino Eugenio Arriaga Rojas,Mayoría Relativa,Guanajuato ,8 ,justino.arriaga@diputados.gob.mx ,pan,Maestría,95 ,7,27 ,2,4 ,0,2 ,0,9,128
Dip. Eleuterio Arrieta Sánchez,Mayoría Relativa,Veracruz ,13 ,eleuterio.arrieta@diputados.gob.mx ,Morena,Maestría,5 ,1,15 ,10,0,0,0,0,11,20
Dip. Felipe Rafael Arvizu De la Luz,Mayoría Relativa,México ,12 ,felipe.arvizu@diputados.gob.mx ,Morena,Licenciatura,9 ,0,15 ,10,2 ,0,1 ,0,10,27
Dip. Sergio Fernando Ascencio Barba,Mayoría Relativa,Guanajuato ,15 ,sergio.ascencio@diputados.gob.mx ,pan,Maestría,84 ,7,28 ,2,4 ,0,2 ,0,9,118
Dip. Reyna Celeste Ascencio Ortega,Representación proporcional,Michoacán ,5 ,reyna.ascencio@diputados.gob.mx ,Morena,Pasante,2 ,0,15 ,10,1 ,0,1 ,0,10,19
Dip. Karen Ivette Audiffred Fernández,Mayoría Relativa,Ciudad de México ,21 , ,Morena,Ninguna,2 ,0,0,0,0,0,0,0,0,2
Dip. Laura Patricia Avalos Magaña,Mayoría Relativa,Tabasco ,5 ,laura.avalos@diputados.gob.mx ,Morena,Licenciatura,6 ,1,15 ,10,0,0,4 ,0,11,25
Dip. Mildred Concepción Avila Vera,Mayoría Relativa,Quintana Roo ,3 ,mildred.avila@diputados.gob.mx ,Morena,Licenciatura,4 ,0,15 ,10,2 ,0,4 ,0,10,25
Dip. Carlos Iván Ayala Bobadilla,Mayoría Relativa,Sinaloa ,2 ,carlosivan.ayala@diputados.gob.mx ,Morena,Licenciatura,7 ,0,4 ,1,2 ,0,1 ,0,1,14
Dip. Ma. de los Ángeles Ayala Díaz,Mayoría Relativa,Guanajuato ,3 ,madelosangeles.ayala@diputados.gob.mx ,pan,Maestría,95 ,7,29 ,2,17 ,0,2 ,0,9,143
Dip. Frinné Azuara Yarzábal,Representación proporcional,San Luis Potosí ,2 ,frinne.azuara@diputados.gob.mx ,Pri,Maestría,40 ,3,1 ,0,2 ,0,0,0,3,43
Dip. Xavier Azuara Zúñiga,Representación proporcional,San Luis Potosí ,2 ,xavier.azuara@diputados.gob.mx ,pan,Licenciatura,92 ,6,29 ,2,3 ,0,2 ,0,8,126
Dip. Cuauhtli Fernando Badillo Moreno,Representación proporcional,San Luis Potosí ,2 ,cuauhtli.badillo@diputados.gob.mx ,Morena,Pasante,4 ,0,15 ,10,0,0,0,0,10,19
Dip. Socorro Bahena Jiménez,Representación proporcional,México ,5 ,socorro.bahena@diputados.gob.mx ,Morena,Secundaria,14 ,2,15 ,10,0,0,4 ,0,12,33
Dip. Manuel de Jesus Baldenebro Arredondo,Mayoría Relativa,Sonora ,1 ,manuel.baldenebro@diputados.gob.mx ,Encuentro,Especialidad,11 ,1,6 ,1,2 ,0,0,0,2,19
Dip. Esteban Barajas Barajas,Mayoría Relativa,Michoacán ,2 ,esteban.barajas@diputados.gob.mx ,Morena,Licenciatura,2 ,0,15 ,10,0,0,0,0,10,17
Dip. Rocío Barrera Badillo,Mayoría Relativa,Ciudad de México ,11 ,rocio.barrera@diputados.gob.mx ,Morena,Licenciatura,3 ,0,15 ,10,8 ,2,2 ,0,12,28
Dip. Laura Barrera Fortoul,Representación proporcional,México ,5 ,laura.barrera@diputados.gob.mx ,Pri,Maestría,49 ,4,1 ,0,8 ,0,1 ,0,4,59
Dip. Alejandro Barroso Chávez,Mayoría Relativa,Puebla ,15 ,alejandro.barroso@diputados.gob.mx ,Morena,Especialidad,2 ,0,15 ,10,1 ,0,0,0,10,18
Dip. Juan Angel Bautista Bravo,Mayoría Relativa,México ,31 ,juan.bautista@diputados.gob.mx ,Morena,Maestría,2 ,0,15 ,10,4 ,0,0,0,10,21
Dip. Maria del Carmen Bautista Peláez,Mayoría Relativa,Oaxaca ,9 ,maria.bautista@diputados.gob.mx ,Morena,,5 ,0,15 ,10,3 ,1,1 ,0,11,24
Dip. David Bautista Rivera,Representación proporcional,Puebla ,4 ,david.bautista@diputados.gob.mx ,Morena,Licenciatura,10 ,2,15 ,10,3 ,0,0,0,12,28
Dip. Mónica Bautista Rodríguez,Representación proporcional,México ,5 ,monica.bautista@diputados.gob.mx ,d01,,11 ,0,41 ,1,4 ,0,1 ,0,1,57
Dip. Oscar Bautista Villegas,Mayoría Relativa,San Luis Potosí ,3 ,oscar.bautista@diputados.gob.mx ,vrd,Maestría,11 ,0,29 ,2,2 ,0,28 ,4,6,70
Dip. Rosa María Bayardo Cabrera,Mayoría Relativa,Colima ,2 ,rosa.bayardo@diputados.gob.mx ,Morena,Licenciatura,1 ,0,4 ,1,1 ,0,0,0,1,6
Dip. Ana Laura Bernal Camarena,Mayoría Relativa,Sonora ,2 ,ana.bernal@diputados.gob.mx ,_PT,.,1 ,0,2 ,0,12 ,2,0,0,2,15
Dip. Mary Carmen Bernal Martínez,Mayoría Relativa,Michoacán ,3 ,mary.bernal@diputados.gob.mx ,_PT,Licenciatura,6 ,0,6 ,0,16 ,2,0,0,2,28
Dip. Víctor Blas López,Representación proporcional,Oaxaca ,3 ,victor.blas@diputados.gob.mx ,Morena,,1 ,0,15 ,10,0,0,0,0,10,16
Dip. Raúl Eduardo Bonifaz Moedano,Mayoría Relativa,Chiapas ,6 ,raul.bonifaz@diputados.gob.mx ,Morena,Ninguna,3 ,0,6 ,2,5 ,2,1 ,0,4,15
Dip. Raquel Bonilla Herrera,Mayoría Relativa,Veracruz ,5 ,raquel.bonilla@diputados.gob.mx ,Morena,Carrera Trunca,7 ,2,15 ,10,3 ,0,0,0,12,25
Dip. Madeleine Bonnafoux Alcaraz,Representación proporcional,Sonora ,1 ,madeleine.bonnafoux@diputados.gob.mx ,pan,Licenciatura,111 ,9,29 ,2,6 ,0,6 ,0,11,152
Dip. Francisco Javier Borrego Adame,Mayoría Relativa,Coahuila ,2 ,francisco.borrego@diputados.gob.mx ,Morena,Carrera Comercial,0,0,15 ,10,6 ,0,1 ,0,10,22
Dip. Itzcóatl Tonatiuh Bravo Padilla,Representación proporcional,Jalisco ,1 ,tonatiuhb@diputados.gob.mx ,ano,Doctorante,8 ,3,27 ,1,6 ,3,3 ,1,8,44
Dip. María Wendy Briceño Zuloaga,Mayoría Relativa,Sonora ,5 ,maria.briceno@diputados.gob.mx ,Morena,Maestría,2 ,0,15 ,10,0,0,4 ,0,10,21
Dip. Irasema del Carmen Buenfil Díaz,Mayoría Relativa,Campeche ,2 ,irasema.buenfil@diputados.gob.mx ,Encuentro,Licenciatura,6 ,0,5 ,1,2 ,0,0,0,1,13
Dip. Lyndiana Elizabeth Bugarín Cortés,Mayoría Relativa,Zacatecas ,2 ,lyndiana.bugarin@diputados.gob.mx ,vrd,Licenciatura,6 ,2,29 ,2,1 ,0,27 ,4,8,63
Dip. Teresa Burelo Cortazar,Mayoría Relativa,Tabasco ,2 ,teresa.burelo@diputados.gob.mx ,Morena,Carrera Técnica,1 ,0,15 ,10,0,0,0,0,10,16
Dip. Claudia Báez Ruiz,Mayoría Relativa,Puebla ,3 ,claudia.baez@diputados.gob.mx ,Encuentro,Licenciatura,16 ,1,6 ,1,4 ,1,0,0,3,26
Dip. Ma. del Carmen Cabrera Lagunas,Mayoría Relativa,Guerrero ,3 ,madelcarmen.cabrera@diputados.gob.mx ,Encuentro,Licenciatura,20 ,3,6 ,1,10 ,2,2 ,0,6,38
Dip. Samuel Calderón Medina,Representación proporcional,Morelos ,4 ,samuel.calderon@diputados.gob.mx ,Morena,Licenciatura,4 ,0,15 ,10,0,0,0,0,10,19
Dip. Rodrigo Calderón Salas,Mayoría Relativa,Veracruz ,7 ,rodrigo.calderon@diputados.gob.mx ,Morena,Carrera Comercial,8 ,0,15 ,10,1 ,0,0,0,10,24
Dip. José Ramón Cambero Pérez,Representación proporcional,Nayarit ,1 ,jose.cambero@diputados.gob.mx ,pan,.,79 ,4,28 ,2,2 ,0,3 ,0,6,112
Dip. Lenin Nelson Campos Córdova,Representación proporcional,San Luis Potosí ,2 ,lenin.campos@diputados.gob.mx ,Pri,Licenciatura,39 ,4,1 ,0,0,0,0,0,4,40
Dip. Ignacio Benjamín Campos Equihua,Mayoría Relativa,Michoacán ,9 ,ignacio.campos@diputados.gob.mx ,Morena,Maestría,3 ,0,15 ,10,2 ,0,0,0,10,20
Dip. Susana Cano González,Representación proporcional,México ,5 ,susana.cano@diputados.gob.mx ,Morena,Carrera Técnica,12 ,1,15 ,10,0,0,0,0,11,27
Dip. Juan José Canul Pérez,Mayoría Relativa,Yucatán ,5 ,juan.canul@diputados.gob.mx ,Pri,Secretario de Organización del Comité Directivo Estatal en Yucatán,35 ,2,1 ,0,0,0,1 ,0,2,37
Dip. Marco Antonio Carbajal Miranda,Representación proporcional,Sonora ,1 ,marco.carbajal@diputados.gob.mx ,Morena,Bachillerato ,2 ,1,15 ,10,0,0,1 ,0,11,18
Dip. Julio Carranza Aréas,Representación proporcional,Veracruz ,3 ,julio.carranza@diputados.gob.mx ,Morena,Pasante,5 ,0,15 ,10,0,0,0,0,10,20
Dip. Nelly Minerva Carrasco Godínez,Mayoría Relativa,México ,4 ,nelly.carrasco@diputados.gob.mx ,Morena,Licenciatura,33 ,3,15 ,10,1 ,0,0,0,13,49
Dip. Olegaria Carrazco Macías,Mayoría Relativa,Sinaloa ,6 ,olegaria.carrazco@diputados.gob.mx ,Morena,Posgrado,16 ,2,15 ,10,0,0,1 ,0,12,32
Dip. Carlos Carreón Mejía,Representación proporcional,Tlaxcala ,4 ,carlos.carreon@diputados.gob.mx ,pan,Licenciatura,85 ,5,27 ,2,2 ,0,2 ,0,7,116
Dip. Juana Carrillo Luna,Representación proporcional,México ,5 ,juana.carrillo@diputados.gob.mx ,Morena,Licenciatura,11 ,0,15 ,10,2 ,0,0,0,10,28
Dip. Miroslava Carrillo Martínez,Mayoría Relativa,México ,34 ,miroslava.carrillo@diputados.gob.mx ,Morena,Doctorado,12 ,2,15 ,10,0,0,0,0,12,27
Dip. Alejandro Carvajal Hidalgo,Mayoría Relativa,Puebla ,6 ,alejandro.carvajal@diputados.gob.mx ,Morena,,1 ,0,15 ,10,7 ,0,1 ,0,10,24
Dip. María Guadalupe Edith Castañeda Ortiz,Representación proporcional,México ,5 ,edith.castaneda@diputados.gob.mx ,Morena,Doctorado,32 ,2,15 ,10,4 ,0,0,0,12,51
Dip. Javier Julián Castañeda Pomposo,Mayoría Relativa,Baja California ,6 ,javier.castaneda@diputados.gob.mx ,Morena,Licenciatura,11 ,1,6 ,1,6 ,0,0,0,2,23
Dip. Carlos Humberto Castaños Valenzuela,Representación proporcional,Sinaloa ,1 ,carlos.castanos@diputados.gob.mx ,pan,Licenciatura,99 ,7,27 ,2,6 ,0,2 ,0,9,134
Dip. Katia Alejandra Castillo Lozano,Representación proporcional,Jalisco ,1 ,katia.castillo@diputados.gob.mx ,Morena,Carrera Técnica,1 ,0,15 ,10,4 ,1,4 ,0,11,24
Dip. Rubén Cayetano García,Mayoría Relativa,Guerrero ,8 ,ruben.cayetano@diputados.gob.mx ,Morena,Licenciatura,8 ,1,15 ,10,4 ,1,0,0,12,27
Dip. Martina Cazarez Yañez,Representación proporcional,San Luis Potosí ,2 ,martina.cazarez@diputados.gob.mx ,Morena,Consejera Estatal en San Luis Potosi,1 ,0,15 ,10,0,0,0,0,10,16
Dip. Jacobo David Cheja Alfaro,Representación proporcional,México ,5 ,jacobo.cheja@diputados.gob.mx ,ano,Licenciatura,30 ,5,27 ,1,2 ,0,1 ,0,6,60
Dip. Miguel Ángel Chico Herrera,Representación proporcional,Guanajuato ,2 ,miguel.chico@diputados.gob.mx ,Morena,Especialidad,1 ,0,15 ,10,2 ,2,2 ,0,12,20
Dip. María Chávez Pérez,Representación proporcional,Michoacán ,5 ,mchavez.perez@diputados.gob.mx ,Morena,Maestría,5 ,1,15 ,10,4 ,0,1 ,1,12,25
Dip. Carlos Elhier Cinta Rodríguez,Representación proporcional,Guanajuato ,2 ,carlos.cinta@diputados.gob.mx ,pan,Ninguna,6 ,0,0,0,2 ,0,1 ,0,0,9
Dip. Tatiana Clouthier Carrillo,Representación proporcional,Sinaloa ,1 ,tatiana.clouthier@diputados.gob.mx ,Morena,Otro,2 ,1,15 ,10,3 ,0,2 ,0,11,22
Dip. Armando Contreras Castillo,Representación proporcional,Oaxaca ,3 ,acontreras.castillo@diputados.gob.mx ,Morena,Licenciatura,6 ,1,15 ,10,3 ,1,1 ,1,13,25
Dip. Lourdes Celenia Contreras González,Mayoría Relativa,Jalisco ,13 ,lourdes.contreras@diputados.gob.mx ,ano,Licenciatura,20 ,3,27 ,1,6 ,0,3 ,0,4,56
Dip. Gustavo Contreras Montes,Mayoría Relativa,México ,8 ,gustavo.contreras@diputados.gob.mx ,Morena,Pasante,13 ,1,15 ,10,0,0,0,0,11,28
Dip. Jorge Francisco Corona Méndez,Representación proporcional,Quintana Roo ,3 ,jorge.corona@diputados.gob.mx ,vrd,Ninguna,1 ,0,0,0,0,0,7 ,2,2,8
Dip. Héctor René Cruz Aparicio,Mayoría Relativa,Baja California ,8 ,hector.cruz@diputados.gob.mx ,Encuentro,Maestría,15 ,2,6 ,1,6 ,0,0,0,3,27
Dip. Flora Tania Cruz Santos,Mayoría Relativa,Veracruz ,11 ,flora.cruz@diputados.gob.mx ,Morena,Maestría,8 ,1,15 ,10,3 ,2,1 ,0,13,27
Dip. Susana Beatriz Cuaxiloa Serrano,Representación proporcional,Puebla ,4 ,susana.cuaxiloa@diputados.gob.mx ,Morena,Licenciatura,9 ,1,15 ,10,12 ,1,0,0,12,36
Dip. Gabriela Cuevas Barron,Representación proporcional,Ciudad de México ,4 ,gabriela.cuevas@diputados.gob.mx ,Morena,,0,0,15 ,10,0,0,0,0,10,15
Dip. Luis Eleusis Leónidas Córdova Morán,Representación proporcional,Puebla ,4 ,eleusis.cordova@diputados.gob.mx ,Pri,Maestría,53 ,6,1 ,0,0,0,0,0,6,54
Dip. Lucio De Jesús Jiménez,Representación proporcional,Ciudad de México ,4 ,lucio.dejesus@diputados.gob.mx ,Morena,Secundaria,6 ,1,15 ,10,0,0,0,0,11,21
Dip. Patricia Del Carmen De La Cruz Delucio,Representación proporcional,Chiapas ,3 ,patricia.delacruz@diputados.gob.mx ,Morena,Primaria,5 ,0,15 ,10,1 ,1,1 ,0,11,22
Dip. Ricardo De la Peña Marshall,Mayoría Relativa,Tabasco ,6 ,ricardo.delapena@diputados.gob.mx ,Encuentro,Maestría,11 ,2,6 ,1,16 ,1,0,0,4,33
Dip. Fernando Donato De las Fuentes Hernández,Mayoría Relativa,Coahuila ,7 ,fernandodelasfuentes@diputados.gob.mx ,Pri,Licenciatura,13 ,1,1 ,0,6 ,0,1 ,0,1,21
Dip. Clementina Marta Dekker Gómez,Mayoría Relativa,Chiapas ,5 ,clementina.dekker@diputados.gob.mx ,_PT,Licenciatura,5 ,1,6 ,0,4 ,0,4 ,0,1,19
Dip. Diego Eduardo Del Bosque Villarreal,Representación proporcional,Coahuila ,2 ,diego.delbosque@diputados.gob.mx ,Morena,,3 ,0,15 ,10,1 ,0,0,0,10,19
Dip. Erika Vanessa Del Castillo Ibarra,Mayoría Relativa,Ciudad de México ,1 ,erika.delcastillo@diputados.gob.mx ,Morena,Licenciatura,12 ,1,15 ,10,0,0,0,0,11,27
Dip. Higinio Del Toro Pérez,Mayoría Relativa,Jalisco ,19 ,higinio.deltoro@diputados.gob.mx ,ano,Maestría,8 ,1,0,0,24 ,0,0,0,1,32
Dip. Mario Delgado Carrillo,Mayoría Relativa,Ciudad de México ,13 ,mario.delgado@diputados.gob.mx ,Morena,Maestría,3 ,0,15 ,10,13 ,5,5 ,3,18,36
Dip. José Ricardo Delsol Estrada,Mayoría Relativa,San Luis Potosí ,4 ,josericardo.delsol@diputados.gob.mx ,Morena,,0,0,15 ,10,1 ,0,1 ,0,10,17
Dip. María Elizabeth Diaz García,Mayoría Relativa,México ,13 ,maria.diaz@diputados.gob.mx ,Morena,Ninguna,7 ,0,15 ,10,0,0,4 ,0,10,26
Dip. Rosalinda Domínguez Flores,Mayoría Relativa,Oaxaca ,7 ,rosalinda.dominguez@diputados.gob.mx ,Morena,,1 ,0,15 ,10,2 ,1,0,0,11,18
Dip. Roberto Ángel Domínguez Rodríguez,Mayoría Relativa,México ,28 ,roberto.dominguez@diputados.gob.mx ,Morena,,6 ,0,15 ,10,0,0,1 ,0,10,22
Dip. Claudia Angélica Domínguez Vázquez,Mayoría Relativa,México ,14 ,claudia.dominguez@diputados.gob.mx ,_PT,Licenciatura,33 ,4,6 ,0,12 ,0,0,0,4,51
Dip. Adriana Dávila Fernández,Representación proporcional,Tlaxcala ,4 ,adriana.davila@diputados.gob.mx ,pan,Licenciatura,83 ,5,26 ,2,4 ,0,3 ,0,7,116
Dip. Leticia Díaz Aguilar,Representación proporcional,Ciudad de México ,4 ,leticia.diaz@diputados.gob.mx ,Morena,Carrera Trunca,19 ,3,15 ,10,1 ,0,0,0,13,35
Dip. Antonia Natividad Díaz Jiménez,Representación proporcional,Oaxaca ,3 ,antonia.diaz@diputados.gob.mx ,pan,Ninguna,26 ,2,1 ,0,3 ,0,2 ,0,2,32
Dip. Francisco Elizondo Garrido,Representación proporcional,Nuevo León ,2 ,francisco.elizondo@diputados.gob.mx ,Morena,,5 ,0,15 ,10,5 ,0,23 ,4,14,48
Dip. Olga Juliana Elizondo Guerra,Mayoría Relativa,Tamaulipas ,2 ,olga.elizondo@diputados.gob.mx ,_PT,Licenciatura,34 ,5,7 ,1,8 ,4,3 ,1,11,52
Dip. José Luis Elorza Flores,Mayoría Relativa,Chiapas ,12 ,jose.elorza@diputados.gob.mx ,Morena,Licenciatura,3 ,0,15 ,10,1 ,1,1 ,0,11,20
Dip. Arturo Escobar y Vega,Representación proporcional,Ciudad de México ,4 ,arturo.escobar@diputados.gob.mx ,vrd,Maestría,4 ,0,29 ,2,12 ,4,30 ,7,13,75
Dip. Jorge Arturo Espadas Galván,Mayoría Relativa,Guanajuato ,11 ,jorge.espadas@diputados.gob.mx ,pan,Posgrado,96 ,5,28 ,2,10 ,1,3 ,0,8,137
Dip. Gregorio Efraín Espadas Méndez,Mayoría Relativa,Tabasco ,3 ,gregorio.espadas@diputados.gob.mx ,Morena,Licenciatura,4 ,0,15 ,10,0,0,0,0,10,19
Dip. Frida Alejandra Esparza Márquez,Representación proporcional,Zacatecas ,2 ,frida.esparza@diputados.gob.mx ,d01,Licenciatura,11 ,0,42 ,1,8 ,0,2 ,0,1,63
Dip. Ma. Eugenia Leticia Espinosa Rivas,Mayoría Relativa,Guanajuato ,14 ,eugenia.espinosa@diputados.gob.mx ,pan,Maestría,94 ,7,29 ,2,7 ,0,3 ,0,9,133
Dip. Adriana María Guadalupe Espinosa de los Monteros García,Mayoría Relativa,Ciudad de México ,9 ,adriana.espinosa@diputados.gob.mx ,Morena,Posgrado,1 ,0,15 ,10,4 ,1,0,0,11,20
Dip. Juan Martín Espinoza Cárdenas,Mayoría Relativa,Jalisco ,17 ,juan.espinoza@diputados.gob.mx ,ano,Licenciatura,102 ,11,27 ,1,31 ,3,1 ,0,15,161
Dip. Juan Francisco Espinoza Eguia,Mayoría Relativa,Nuevo León ,9 ,francisco.espinoza@diputados.gob.mx ,Pri,Licenciatura,41 ,5,1 ,0,2 ,0,1 ,0,5,45
Dip. Brenda Espinoza Lopez,Representación proporcional,Morelos ,4 ,brenda.espinoza@diputados.gob.mx ,Morena,Licenciatura,1 ,0,15 ,10,4 ,1,0,0,11,20
Dip. Zulma Espinoza Mata,Representación proporcional,Nuevo León ,2 , ,vrd,Ninguna,1 ,0,0,0,0,0,2 ,0,0,3
Dip. María Bertha Espinoza Segura,Mayoría Relativa,Veracruz ,3 ,bertha.espinoza@diputados.gob.mx ,Morena,Carrera Trunca,8 ,0,15 ,10,1 ,0,0,0,10,24
Dip. Ricardo Francisco Exsome Zapata,Mayoría Relativa,Veracruz ,4 ,ricardo.exsome@diputados.gob.mx ,Morena,,0,0,15 ,10,0,0,0,0,10,15
Dip. Alan Jesús Falomir Saenz,Mayoría Relativa,Chihuahua ,8 ,alan.falomir@diputados.gob.mx ,ano,Pasante,26 ,6,27 ,1,6 ,1,1 ,0,8,60
Dip. Juan Enrique Farrera Esponda,Mayoría Relativa,Chiapas ,10 ,juan.farrera@diputados.gob.mx ,Morena,Carrera Trunca,2 ,0,15 ,10,0,0,0,0,10,17
